Format,Column1,Column2
image,logoImage,
title,,
title,Innersloth,
person,Forest W,CEO / Co-Founder 
person,"Marcus ""PuffballsUnited"" B",CCO / Co-Founder
person,Dave Tamayo,Principal Designer
person,Kristi Anderson,Production Director
person,Jona Barceló,Senior Technical Producer
person,Krys Loh,Producer
person,Hannako Lambert,Art Director
person,Jake Clark,Principal Animator
person,Amy Liu,Senior Artist
person,Dan Tan,Senior Artist
person,Jemma Salume,Senior Artist
person,Adriel Wallick,Front-End Programming Director
person,Gary Porter,Front-End Programming Architect
person,Antonio Gutiérrez,Principal Gameplay Programmer
person,Jade Lynde,Senior Gameplay Programmer
person,Sarah Wheeler,Senior Gameplay Programmer
person,Swati Mallya,Senior Gameplay Programmer
person,Tony Coculuzzi,Senior Gameplay Programmer
person,Daryl Fontaine,Back-End Programming Director
person,"Mik ""Dr. Robotmik"" Minier",Back-End Programming Architect
person,Brad Melanson,Senior Back-End Services Programmer
person,Nicole Giusti,Senior Back-End Services Programmer
person,Nick Schulz,Principal Networked Gameplay Programmer
person,Luna Fok,Senior Network Gameplay Programmer
person,Victoria Tran,Community Director
person,Sofia Leigh,Community Manager
person,"Chris ""Dors"" Dorsey",Associate Community Manager
person,Mike Barrett,Player Support
person,Lucy M.,Senior UI/UX Designer
person,Sam D'Elia,Business Development Contractor
person,Raquel Lin,Studio Operations Director
title,Sloth Alumni,
person,Jonah Johnson,QA Intern
person,Justine Raymond,UI/UX Contractor
person,Nathan Blau,Game Strategist
person,"Torin ""Nommiin"" Freimiller",Jr. Backend Programmer
person,Joseph Magallanes,Player Support
person,Shahrin Khan,Unity Programmer
title,Lockit QA,
person,Michaël Lelièvre,
person,Chris Arvanitakis,
person,Jean-Noël Guenot,
person,Christopher Jabs,
person,Tyler Jocson Wong,
person,Pawel Zielinski,
person,Sebastian,
person,Shaun K Murphy,
person,Matt Nemecek,
person,Jake Du Mays Savard,
person,Ian Berg,
person,Benjamin Dax Guthrie,
person,Dane Day,
person,Chett Youkel,
person,Aidan Oquin,
person,"Theo ""Zofia"" Telega",
person,Janeca Huusko,
title,Wolfjaw Studios,
person,Mitchell Patterson,
person,Hunter Fortuin,
person,Tom Carmona,
person,Jess Cloutier,
person,Will Clifford,
person,Ajay Kumar,
person,Louis Saporito,
person,Jacob Luta,
person,Jillian Christiano,
person,Chris Mullin,
person,Stephanie Relyea,
person,Elena Daglow,
person,Duane Jeffers,
person,Garrett Edwards,
person,Dan Pallas,
person,Scott Glasser,
person,Greg Naimoli,
title,Rushdown Studios,
person,Andy Polidore,
title,Lockit QA - Localization,
person,Melanie Chen,
person,George Ou,
person,Jimmie Choo,
person,"Albert ""Windyshine"" Chen",
person,Alfred Lu,
person,Cheng-Hao “Jimmy” Yang,
person,Henri Louis Van Kooten,
person,Ed Vreeburg,
person,Chloé Streck,
person,Amélie Ladevez,
person,Noémie Déplantes,
